_id,userId,image,artType,name,description,dimension,isForSale,isSold,price,location,__v
304865c8-77bc-4f48-b14e-cdec67cd347c,d3f908a3-306e-4d15-9ef1-2cdad0389274,,Gravure,Whimsical Echo,"A vibrant celebration of spring, with a riot of colorful flowers set against a backdrop of renewing greenery.",77cm x 43cm,False,True,7429,"-73.6643, 130.2258",0
e82a1ec8-618f-460f-8bde-dc6f757e9f92,f95afe12-b5d6-44b9-8c5f-8ca819abb9d5,,Photographie,Tranquil Chaos,"An evocative portrayal of a bustling cityscape at dusk, where the fading sunlight meets the neon glow of urban life.",41cm x 97cm,False,False,1986,"36.9859, -18.4961",0
13f5a932-04b4-4b6b-8901-87cdb0324490,822c8446-1f98-4a8b-ae10-a8d6188d0aeb,,Gravure,Elegant Echo,"A serene depiction of a mountain vista at sunrise, where the first rays of light gently illuminate the peaks, creating a breathtaking panorama.",72cm x 54cm,False,True,6682,"-5.4922, 49.0898",0
5f5e34f6-50d0-4d2d-ac8f-3ba86fc86abe,f815caab-575b-490e-964f-b6efc6c8eb54,,Sculpture,Eternal Dance,"A dramatic seascape showing a stormy ocean under a brooding sky, capturing the raw power and majesty of nature.",93cm x 44cm,False,False,4869,"20.1938, -45.7167",0
0edcf0e8-b02d-40e4-8d9a-119194d87d82,25766bc3-96ca-4786-85df-8bab7575c353,,Art du verre,Vibrant Dance,"A dreamlike vision of a mystical forest, bathed in ethereal light, where shadows dance among ancient trees.",68cm x 86cm,True,True,7922,"43.3208, -81.8419",0
bae62054-3549-400e-91a4-b7802842a9d7,0252f3cc-7021-48aa-9857-96b66791fa8b,,Textile,Elegant Silhouette,"A stark yet beautiful depiction of a winter landscape, where the contrast between snow and bare branches creates a serene stillness.",66cm x 70cm,False,True,1240,"45.1125, -16.3748",0
651e7bdf-c10c-4839-abf4-fe32b569c896,97a3c08e-64a9-4647-ab7e-33d4b1c7649f,,Sculpture,Mystic Odyssey,"An intimate glimpse into a quiet corner of a rustic café, where the play of light and shadow tells a story of everyday tranquility.",94cm x 44cm,False,False,7905,"-11.6183, -74.1909",0
84656969-3e8a-41c3-a8d9-4e57a7bb9b30,25c3e622-02c5-4a62-84b2-bb1a2c0e3603,,Artisanat,Whimsical Vision,"A nostalgic rendering of an old, forgotten alleyway, where the textures of peeling paint and weathered brick evoke memories of times gone by.",68cm x 49cm,False,True,7312,"-49.5081, 164.7451",0
8b2eefe0-7b9a-4f82-83cd-4c153754ea64,5e9fef0a-0295-4cf0-b532-3117b1a690c9,,Photographie,Elegant Whisper,A whimsical portrayal of a fantastical garden where mythical creatures and exotic plants coexist in an otherworldly harmony.,74cm x 41cm,True,True,272,"-36.8153, -125.2007",0
8b34fcf1-7b06-4e7c-abe1-0c6c9c9b8f26,226523bf-2500-43ff-8336-8c2da44d116d,,Art du verre,Eternal Mirage,"An abstract composition that delves into the depths of human emotion, using bold colors and sweeping strokes to evoke a sense of passion and turmoil.",84cm x 88cm,True,True,741,"88.5780, -148.9883",0
